frame,psnr_noisy,psnr_gaussian,psnr_median,psnr_restormer,ssim_noisy,ssim_gaussian,ssim_median,ssim_restormer
00019.png,20.671069667071045,27.993704987910398,26.402631754377943,32.54325646590691,0.35878803091130856,0.7426966514459474,0.6865451436729731,0.8935616008161196
00020.png,20.670307009042396,27.859576799796507,26.305244544553016,32.29116771737908,0.36061651745952483,0.7380065682162676,0.6819226941611087,0.8883902398510038
00021.png,20.662046788674253,28.09685084148613,26.538794066356147,32.64439308639523,0.351924788154436,0.741230921433503,0.6892703284911326,0.8937297566175855
00022.png,20.65255274197918,28.07628940056379,26.48243472509972,32.629273418972645,0.3521549331767484,0.7394514023605258,0.6863686231142782,0.8940345860409701
00023.png,20.6822005851866,27.985345361232795,26.33729426299199,32.59768755349823,0.35908040391105384,0.741183850619134,0.68391988830671,0.8948872824322933
00024.png,20.677462803055487,27.856723419844514,26.259411485663335,32.340733888021376,0.3602205436904828,0.7369934095311224,0.6805573800221681,0.889760486372718
00025.png,20.669229908507113,28.168803760978403,26.585936073010657,32.72827039531549,0.34906537471043103,0.7395257159102403,0.6897569384477261,0.8952782266089098
00026.png,20.67292484955814,28.058322299240082,26.45347753044899,32.53287783016661,0.35430556307063577,0.7397667940222816,0.6859648395138703,0.8915612666391702
00027.png,20.690971557794224,27.934241315451235,26.28580764563226,32.441123557967984,0.36037101010932676,0.7402467343782436,0.6829980290725545,0.8915777422739432
00028.png,20.67503473698528,27.825798345422967,26.220190955390848,32.20908306520324,0.36141850548684556,0.7379336437083879,0.6794750103700616,0.887109910571918
00029.png,20.673412101237236,28.06701421317058,26.4905872707666,32.54239759156796,0.35509161695658337,0.742023885264734,0.6884292986256964,0.8936922883170021
00030.png,20.676196602703925,28.098381665032854,26.53964701655518,32.558070983963546,0.35101096034917295,0.739560323417526,0.6879232090529274,0.8932857115769574
00031.png,20.678232991872825,28.18202687170805,26.603654407249113,32.70007133449966,0.3488434161638358,0.7404350849049287,0.6902872803434695,0.8962279487490905
00032.png,20.66540350264375,28.12121022200032,26.59516694155436,32.56885059993196,0.3489330768292925,0.7381578561870933,0.6896667686076987,0.8929612362636087
00033.png,20.658975682068096,28.148679765191762,26.60241341296784,32.71226957633089,0.35088816546603957,0.7416762772756491,0.692026156313568,0.896965594893642
00034.png,20.660579679258095,28.051423099740063,26.501173834011635,32.63222325519401,0.3570814537281261,0.7416793928384289,0.6903073650829965,0.8954942250807493
00035.png,20.6563326361249,28.037835352028296,26.437293866600772,32.656768014244065,0.3579275327569458,0.7421455171879144,0.6884155288983753,0.8980446780309776
00036.png,20.660156551850164,28.074956975186666,26.50519932856083,32.59195567444501,0.34770786836178963,0.7362695453050155,0.6874040589802054,0.8952418640785392
00037.png,20.654801579279976,28.17506284697146,26.596730651260714,32.74594096400625,0.34930911809594584,0.7414245315783526,0.6913812596466101,0.897867989827322
00038.png,20.628681829745833,28.07579242294831,26.464501017716564,32.5779542797586,0.35612545754186553,0.7419520724546493,0.6887226315324227,0.8946548427644702
00039.png,20.656965573791606,27.875586167766897,26.199707726290615,32.40688282168067,0.36580354035915447,0.7425945115986304,0.6836511632738599,0.8932819337254925
00040.png,20.668109055492234,27.812968553802115,26.17981584062164,32.25299750505317,0.3680458899203056,0.7416114705309179,0.6829922529624931,0.8903190532141408
00041.png,20.666006111217953,27.98526256315594,26.39301377490421,32.47129849129907,0.36260382248388207,0.7441526966436017,0.6878897961435236,0.8950371634880877
00042.png,20.661078141865843,28.049437625621977,26.447372736103393,32.523975867931895,0.35563346824885217,0.7404490614065056,0.6871934450029619,0.893290354068902
00043.png,20.67519582232262,28.109685026105076,26.465949624195233,32.606376356609005,0.35476653603892233,0.7428090946099545,0.688906531101754,0.8955635333539896
00044.png,20.656720516527525,28.1105462355763,26.602008576147284,32.545869649752156,0.3508778889693394,0.7392593998340415,0.6914626490729933,0.8950999404282145
00045.png,20.665042917608204,28.07482113344498,26.570570874604993,32.591202578371764,0.35387668418490087,0.7397043226570367,0.6901291201116396,0.8943382860732023
00046.png,20.65883422478101,28.042765873804036,26.546528018479563,32.583289223375225,0.3552056338171416,0.7397464107848793,0.6902266740993381,0.8934235646494733
00047.png,20.653654984880305,28.191066173408473,26.62863906845148,32.803190783995994,0.34576094398284507,0.7406128041335241,0.6925628230843358,0.8990982641050919
00048.png,20.66195110866328,28.164702589146813,26.703395129643475,32.681463507731664,0.3423836127627893,0.736703471159258,0.693796000912124,0.8959973564368294
